saving to results/2022-03-31_18-33-48_resnet44_m-32
creating model resnet
created model with configuration: {'dataset': 'cifar10', 'depth': 44}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x146643d51a60>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x146643d51820>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 32, 'autoaugment': False, 'cutout': {'holes': 1, 'length': 16}}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 4.752 (4.752)	Data 3.387 (3.387)	Loss 2.3066 (2.3066)	Prec@1 6.738 (6.738)	Prec@5 41.748 (41.748)	Acc 0.067 (0.067)	
TRAINING - Epoch: [0][260/781]	Time 0.346 (0.363)	Data 0.000 (0.013)	Loss 1.9372 (1.9171)	Prec@1 29.102 (26.965)	Prec@5 81.348 (80.824)	Acc 0.270 (0.219)	
TRAINING - Epoch: [0][270/781]	Time 0.346 (0.363)	Data 0.000 (0.013)	Loss 1.7614 (1.9102)	Prec@1 35.352 (27.216)	Prec@5 83.594 (81.066)	Acc 0.272 (0.221)	
TRAINING - Epoch: [0][280/781]	Time 0.346 (0.362)	Data 0.000 (0.012)	Loss 1.6094 (1.9012)	Prec@1 43.066 (27.611)	Prec@5 89.209 (81.308)	Acc 0.276 (0.223)	
TRAINING - Epoch: [0][290/781]	Time 0.346 (0.362)	Data 0.000 (0.012)	Loss 1.8816 (1.8942)	Prec@1 27.148 (27.910)	Prec@5 85.596 (81.556)	Acc 0.279 (0.225)	
TRAINING - Epoch: [0][300/781]	Time 0.346 (0.361)	Data 0.000 (0.011)	Loss 1.4759 (1.8860)	Prec@1 43.457 (28.185)	Prec@5 91.748 (81.791)	Acc 0.282 (0.227)	
TRAINING - Epoch: [0][310/781]	Time 0.347 (0.361)	Data 0.000 (0.011)	Loss 1.6119 (1.8793)	Prec@1 37.207 (28.469)	Prec@5 91.895 (81.962)	Acc 0.285 (0.229)	
TRAINING - Epoch: [0][320/781]	Time 0.347 (0.360)	Data 0.000 (0.011)	Loss 1.7670 (1.8731)	Prec@1 31.787 (28.763)	Prec@5 83.252 (82.153)	Acc 0.288 (0.231)	
TRAINING - Epoch: [0][330/781]	Time 0.346 (0.360)	Data 0.000 (0.010)	Loss 1.5650 (1.8663)	Prec@1 47.803 (29.038)	Prec@5 88.184 (82.349)	Acc 0.290 (0.232)	
TRAINING - Epoch: [0][340/781]	Time 0.346 (0.359)	Data 0.000 (0.010)	Loss 1.7489 (1.8585)	Prec@1 37.256 (29.418)	Prec@5 89.160 (82.547)	Acc 0.294 (0.234)	
TRAINING - Epoch: [0][350/781]	Time 0.346 (0.359)	Data 0.000 (0.010)	Loss 1.7586 (1.8522)	Prec@1 31.348 (29.686)	Prec@5 86.328 (82.713)	Acc 0.297 (0.236)	
TRAINING - Epoch: [0][360/781]	Time 0.347 (0.359)	Data 0.000 (0.010)	Loss 1.4907 (1.8455)	Prec@1 43.359 (29.981)	Prec@5 93.896 (82.936)	Acc 0.300 (0.238)	
TRAINING - Epoch: [0][370/781]	Time 0.347 (0.358)	Data 0.000 (0.009)	Loss 1.5769 (1.8390)	Prec@1 43.359 (30.256)	Prec@5 89.160 (83.116)	Acc 0.303 (0.239)	
TRAINING - Epoch: [0][380/781]	Time 0.346 (0.358)	Data 0.000 (0.009)	Loss 1.4106 (1.8320)	Prec@1 46.826 (30.549)	Prec@5 95.752 (83.308)	Acc 0.305 (0.241)	
TRAINING - Epoch: [0][390/781]	Time 0.347 (0.358)	Data 0.000 (0.009)	Loss 1.5902 (1.8256)	Prec@1 40.869 (30.787)	Prec@5 91.699 (83.499)	Acc 0.308 (0.243)	
TRAINING - Epoch: [0][400/781]	Time 0.347 (0.357)	Data 0.000 (0.009)	Loss 1.6702 (1.8197)	Prec@1 37.500 (31.050)	Prec@5 93.066 (83.653)	Acc 0.310 (0.244)	
TRAINING - Epoch: [0][410/781]	Time 0.347 (0.357)	Data 0.000 (0.008)	Loss 1.5951 (1.8140)	Prec@1 38.965 (31.275)	Prec@5 92.969 (83.799)	Acc 0.313 (0.246)	
TRAINING - Epoch: [0][420/781]	Time 0.346 (0.357)	Data 0.000 (0.008)	Loss 1.5810 (1.8088)	Prec@1 36.719 (31.513)	Prec@5 93.896 (83.940)	Acc 0.315 (0.248)	
TRAINING - Epoch: [0][430/781]	Time 0.347 (0.357)	Data 0.000 (0.008)	Loss 1.5183 (1.8021)	Prec@1 42.871 (31.791)	Prec@5 94.580 (84.098)	Acc 0.318 (0.249)	
TRAINING - Epoch: [0][440/781]	Time 0.346 (0.356)	Data 0.000 (0.008)	Loss 1.6206 (1.7947)	Prec@1 43.018 (32.087)	Prec@5 91.309 (84.278)	Acc 0.321 (0.251)	
TRAINING - Epoch: [0][450/781]	Time 0.346 (0.356)	Data 0.000 (0.008)	Loss 1.5725 (1.7896)	Prec@1 43.311 (32.298)	Prec@5 88.818 (84.403)	Acc 0.323 (0.252)	
TRAINING - Epoch: [0][460/781]	Time 0.349 (0.356)	Data 0.000 (0.008)	Loss 1.6597 (1.7844)	Prec@1 37.891 (32.517)	Prec@5 90.332 (84.513)	Acc 0.325 (0.254)	
TRAINING - Epoch: [0][470/781]	Time 0.346 (0.356)	Data 0.000 (0.007)	Loss 1.6418 (1.7774)	Prec@1 38.574 (32.788)	Prec@5 92.041 (84.677)	Acc 0.328 (0.255)	
TRAINING - Epoch: [0][480/781]	Time 0.346 (0.356)	Data 0.000 (0.007)	Loss 1.3966 (1.7727)	Prec@1 42.676 (32.984)	Prec@5 94.434 (84.807)	Acc 0.330 (0.257)	
TRAINING - Epoch: [0][490/781]	Time 0.347 (0.355)	Data 0.000 (0.007)	Loss 1.4424 (1.7664)	Prec@1 47.559 (33.240)	Prec@5 92.285 (84.963)	Acc 0.332 (0.259)	
TRAINING - Epoch: [0][500/781]	Time 0.346 (0.355)	Data 0.000 (0.007)	Loss 1.3245 (1.7606)	Prec@1 49.805 (33.462)	Prec@5 92.822 (85.119)	Acc 0.335 (0.260)	
TRAINING - Epoch: [0][510/781]	Time 0.347 (0.355)	Data 0.000 (0.007)	Loss 1.4247 (1.7562)	Prec@1 48.730 (33.647)	Prec@5 92.773 (85.244)	Acc 0.336 (0.261)	
TRAINING - Epoch: [0][520/781]	Time 0.346 (0.355)	Data 0.000 (0.007)	Loss 1.5629 (1.7525)	Prec@1 41.260 (33.786)	Prec@5 89.502 (85.345)	Acc 0.338 (0.263)	
TRAINING - Epoch: [0][530/781]	Time 0.346 (0.355)	Data 0.000 (0.007)	Loss 1.5358 (1.7477)	Prec@1 38.916 (33.979)	Prec@5 92.480 (85.465)	Acc 0.340 (0.264)	
TRAINING - Epoch: [0][540/781]	Time 0.347 (0.355)	Data 0.000 (0.006)	Loss 1.3437 (1.7416)	Prec@1 50.635 (34.246)	Prec@5 91.846 (85.592)	Acc 0.342 (0.266)	
TRAINING - Epoch: [0][550/781]	Time 0.347 (0.355)	Data 0.000 (0.006)	Loss 1.4515 (1.7363)	Prec@1 47.900 (34.467)	Prec@5 92.285 (85.717)	Acc 0.345 (0.267)	
TRAINING - Epoch: [0][560/781]	Time 0.346 (0.354)	Data 0.000 (0.006)	Loss 1.4697 (1.7307)	Prec@1 45.752 (34.691)	Prec@5 92.676 (85.839)	Acc 0.347 (0.269)	
TRAINING - Epoch: [0][570/781]	Time 0.349 (0.354)	Data 0.000 (0.006)	Loss 1.3652 (1.7248)	Prec@1 44.434 (34.931)	Prec@5 96.143 (85.972)	Acc 0.349 (0.270)	
TRAINING - Epoch: [0][580/781]	Time 0.347 (0.354)	Data 0.000 (0.006)	Loss 1.4020 (1.7194)	Prec@1 51.904 (35.130)	Prec@5 93.164 (86.109)	Acc 0.351 (0.271)	
TRAINING - Epoch: [0][590/781]	Time 0.349 (0.354)	Data 0.000 (0.006)	Loss 1.4175 (1.7136)	Prec@1 44.092 (35.370)	Prec@5 93.896 (86.237)	Acc 0.354 (0.273)	
TRAINING - Epoch: [0][600/781]	Time 0.347 (0.354)	Data 0.000 (0.006)	Loss 1.3489 (1.7084)	Prec@1 46.680 (35.581)	Prec@5 95.898 (86.349)	Acc 0.356 (0.274)	
TRAINING - Epoch: [0][610/781]	Time 0.347 (0.354)	Data 0.000 (0.006)	Loss 1.4832 (1.7031)	Prec@1 44.727 (35.778)	Prec@5 92.041 (86.469)	Acc 0.358 (0.275)	
TRAINING - Epoch: [0][620/781]	Time 0.347 (0.354)	Data 0.000 (0.006)	Loss 1.4575 (1.6996)	Prec@1 44.873 (35.910)	Prec@5 89.893 (86.545)	Acc 0.359 (0.277)	
TRAINING - Epoch: [0][630/781]	Time 0.346 (0.354)	Data 0.000 (0.006)	Loss 1.4141 (1.6951)	Prec@1 48.389 (36.100)	Prec@5 91.992 (86.643)	Acc 0.361 (0.278)	
TRAINING - Epoch: [0][640/781]	Time 0.347 (0.354)	Data 0.000 (0.005)	Loss 1.2178 (1.6900)	Prec@1 52.441 (36.315)	Prec@5 96.387 (86.746)	Acc 0.363 (0.279)	
TRAINING - Epoch: [0][650/781]	Time 0.349 (0.354)	Data 0.000 (0.005)	Loss 1.5240 (1.6844)	Prec@1 48.730 (36.576)	Prec@5 87.305 (86.853)	Acc 0.366 (0.281)	
TRAINING - Epoch: [0][660/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.4676 (1.6798)	Prec@1 44.922 (36.765)	Prec@5 93.457 (86.953)	Acc 0.368 (0.282)	
TRAINING - Epoch: [0][670/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.4383 (1.6756)	Prec@1 49.072 (36.948)	Prec@5 92.676 (87.036)	Acc 0.369 (0.283)	
TRAINING - Epoch: [0][680/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.3530 (1.6708)	Prec@1 50.537 (37.147)	Prec@5 91.406 (87.128)	Acc 0.371 (0.285)	
TRAINING - Epoch: [0][690/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.3215 (1.6661)	Prec@1 51.074 (37.323)	Prec@5 92.480 (87.226)	Acc 0.373 (0.286)	
TRAINING - Epoch: [0][700/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.3228 (1.6612)	Prec@1 50.488 (37.525)	Prec@5 92.139 (87.319)	Acc 0.375 (0.287)	
TRAINING - Epoch: [0][710/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.3456 (1.6573)	Prec@1 48.145 (37.681)	Prec@5 93.408 (87.404)	Acc 0.377 (0.288)	
TRAINING - Epoch: [0][720/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.2324 (1.6534)	Prec@1 56.201 (37.857)	Prec@5 94.775 (87.480)	Acc 0.379 (0.290)	
TRAINING - Epoch: [0][730/781]	Time 0.347 (0.353)	Data 0.000 (0.005)	Loss 1.3232 (1.6490)	Prec@1 51.074 (38.024)	Prec@5 95.117 (87.564)	Acc 0.380 (0.291)	
TRAINING - Epoch: [0][740/781]	Time 0.349 (0.353)	Data 0.000 (0.005)	Loss 1.3863 (1.6444)	Prec@1 51.904 (38.217)	Prec@5 91.650 (87.648)	Acc 0.382 (0.292)	
TRAINING - Epoch: [0][750/781]	Time 0.346 (0.353)	Data 0.000 (0.005)	Loss 1.4811 (1.6405)	Prec@1 45.117 (38.379)	Prec@5 90.918 (87.723)	Acc 0.384 (0.293)	
TRAINING - Epoch: [0][760/781]	Time 0.346 (0.353)	Data 0.000 (0.005)	Loss 1.4263 (1.6364)	Prec@1 48.584 (38.571)	Prec@5 92.090 (87.805)	Acc 0.386 (0.295)	
TRAINING - Epoch: [0][770/781]	Time 0.349 (0.353)	Data 0.000 (0.005)	Loss 1.2872 (1.6322)	Prec@1 46.924 (38.717)	Prec@5 96.973 (87.903)	Acc 0.387 (0.296)	
TRAINING - Epoch: [0][780/781]	Time 0.349 (0.353)	Data 0.000 (0.005)	Loss 1.2689 (1.6288)	Prec@1 52.930 (38.873)	Prec@5 94.922 (87.967)	Acc 0.389 (0.297)	
EVALUATING - Epoch: [0][0/157]	Time 0.480 (0.480)	Data 0.376 (0.376)	Loss 1.3885 (1.3885)	Prec@1 57.812 (57.812)	Prec@5 92.188 (92.188)	Acc 0.578 (0.578)	
EVALUATING - Epoch: [0][10/157]	Time 0.005 (0.050)	Data 0.000 (0.035)	Loss 1.3449 (1.3279)	Prec@1 53.125 (51.420)	Prec@5 98.438 (95.170)	Acc 0.514 (0.534)	
EVALUATING - Epoch: [0][20/157]	Time 0.015 (0.030)	Data 0.000 (0.019)	Loss 1.4338 (1.3478)	Prec@1 42.188 (52.679)	Prec@5 95.312 (94.866)	Acc 0.527 (0.529)	
EVALUATING - Epoch: [0][30/157]	Time 0.004 (0.022)	Data 0.000 (0.013)	Loss 1.5939 (1.3450)	Prec@1 54.688 (53.528)	Prec@5 90.625 (94.355)	Acc 0.535 (0.530)	
EVALUATING - Epoch: [0][40/157]	Time 0.004 (0.018)	Data 0.000 (0.010)	Loss 1.3585 (1.3534)	Prec@1 53.125 (53.468)	Prec@5 89.062 (94.093)	Acc 0.535 (0.531)	
EVALUATING - Epoch: [0][50/157]	Time 0.004 (0.016)	Data 0.000 (0.008)	Loss 1.4554 (1.3473)	Prec@1 46.875 (53.462)	Prec@5 95.312 (94.087)	Acc 0.535 (0.532)	
EVALUATING - Epoch: [0][60/157]	Time 0.004 (0.014)	Data 0.000 (0.007)	Loss 1.3601 (1.3566)	Prec@1 46.875 (53.176)	Prec@5 96.875 (93.981)	Acc 0.532 (0.532)	
EVALUATING - Epoch: [0][70/157]	Time 0.004 (0.014)	Data 0.000 (0.006)	Loss 1.2521 (1.3415)	Prec@1 54.688 (53.609)	Prec@5 95.312 (94.124)	Acc 0.536 (0.532)	
EVALUATING - Epoch: [0][80/157]	Time 0.010 (0.012)	Data 0.006 (0.005)	Loss 1.2938 (1.3340)	Prec@1 60.938 (53.935)	Prec@5 90.625 (94.097)	Acc 0.539 (0.533)	
EVALUATING - Epoch: [0][90/157]	Time 0.009 (0.012)	Data 0.000 (0.005)	Loss 1.0606 (1.3337)	Prec@1 64.062 (53.880)	Prec@5 96.875 (94.179)	Acc 0.539 (0.533)	
EVALUATING - Epoch: [0][100/157]	Time 0.004 (0.011)	Data 0.000 (0.004)	Loss 1.1349 (1.3370)	Prec@1 57.812 (53.713)	Prec@5 96.875 (94.106)	Acc 0.537 (0.534)	
EVALUATING - Epoch: [0][110/157]	Time 0.004 (0.011)	Data 0.000 (0.004)	Loss 1.1046 (1.3347)	Prec@1 65.625 (53.801)	Prec@5 98.438 (94.215)	Acc 0.538 (0.534)	
EVALUATING - Epoch: [0][120/157]	Time 0.013 (0.010)	Data 0.000 (0.004)	Loss 1.2707 (1.3317)	Prec@1 64.062 (53.874)	Prec@5 92.188 (94.241)	Acc 0.539 (0.534)	
EVALUATING - Epoch: [0][130/157]	Time 0.013 (0.010)	Data 0.000 (0.003)	Loss 1.2770 (1.3342)	Prec@1 57.812 (53.876)	Prec@5 90.625 (94.191)	Acc 0.539 (0.535)	
EVALUATING - Epoch: [0][140/157]	Time 0.006 (0.010)	Data 0.000 (0.003)	Loss 1.0302 (1.3343)	Prec@1 68.750 (53.978)	Prec@5 95.312 (94.160)	Acc 0.540 (0.535)	
EVALUATING - Epoch: [0][150/157]	Time 0.004 (0.009)	Data 0.000 (0.003)	Loss 1.1275 (1.3266)	Prec@1 65.625 (54.253)	Prec@5 90.625 (94.216)	Acc 0.543 (0.535)	
EVALUATING - Epoch: [0][156/157]	Time 0.012 (0.009)	Data 0.000 (0.003)	Loss 1.1491 (1.3284)	Prec@1 56.250 (54.200)	Prec@5 93.750 (94.170)	Acc 0.542 (0.536)	

Results - Epoch: 1
Training Loss 1.6288 	Training Prec@1 38.873 	Training Prec@5 87.967 	Validation Loss 1.3284 	Validation Prec@1 54.200 	Validation Prec@5 94.170 	

/scratch/tor213/DLS/question4/Hoffer/utils/log.py:163: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
  self.results = self.results.append(df, ignore_index=True)
Plot file saved at: /scratch/tor213/DLS/results/2022-03-31_18-33-48_resnet44_m-32/results.html

Starting Epoch: 2

/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
TRAINING - Epoch: [1][0/781]	Time 2.987 (2.987)	Data 1.081 (1.081)	Loss 1.3588 (1.3588)	Prec@1 53.369 (53.369)	Prec@5 91.504 (91.504)	Acc 0.534 (0.534)	
TRAINING - Epoch: [1][10/781]	Time 0.347 (0.587)	Data 0.000 (0.098)	Loss 1.1373 (1.2963)	Prec@1 58.350 (52.055)	Prec@5 95.508 (94.252)	Acc 0.521 (0.526)	
TRAINING - Epoch: [1][20/781]	Time 0.347 (0.473)	Data 0.000 (0.052)	Loss 1.2017 (1.2936)	Prec@1 56.299 (52.441)	Prec@5 96.484 (94.043)	Acc 0.524 (0.526)	
TRAINING - Epoch: [1][30/781]	Time 0.347 (0.432)	Data 0.000 (0.035)	Loss 1.1942 (1.2936)	Prec@1 54.590 (52.410)	Prec@5 96.045 (94.171)	Acc 0.524 (0.525)	
TRAINING - Epoch: [1][40/781]	Time 0.347 (0.411)	Data 0.000 (0.027)	Loss 1.1813 (1.2662)	Prec@1 57.764 (53.348)	Prec@5 94.775 (94.487)	Acc 0.533 (0.526)	
TRAINING - Epoch: [1][50/781]	Time 0.347 (0.399)	Data 0.000 (0.021)	Loss 1.4240 (1.2702)	Prec@1 49.268 (53.335)	Prec@5 92.969 (94.399)	Acc 0.533 (0.527)	
TRAINING - Epoch: [1][60/781]	Time 0.347 (0.390)	Data 0.000 (0.018)	Loss 1.3401 (1.2726)	Prec@1 52.441 (53.326)	Prec@5 93.604 (94.452)	Acc 0.533 (0.528)	
TRAINING - Epoch: [1][70/781]	Time 0.349 (0.384)	Data 0.000 (0.015)	Loss 1.2225 (1.2715)	Prec@1 58.789 (53.423)	Prec@5 95.312 (94.361)	Acc 0.534 (0.529)	
TRAINING - Epoch: [1][80/781]	Time 0.349 (0.380)	Data 0.000 (0.014)	Loss 1.1876 (1.2648)	Prec@1 59.570 (53.836)	Prec@5 96.387 (94.523)	Acc 0.538 (0.530)	
TRAINING - Epoch: [1][90/781]	Time 0.349 (0.376)	Data 0.000 (0.012)	Loss 1.1477 (1.2599)	Prec@1 57.959 (53.927)	Prec@5 96.094 (94.662)	Acc 0.539 (0.531)	
TRAINING - Epoch: [1][100/781]	Time 0.347 (0.374)	Data 0.000 (0.011)	Loss 1.3393 (1.2578)	Prec@1 52.637 (54.063)	Prec@5 94.287 (94.690)	Acc 0.541 (0.532)	
TRAINING - Epoch: [1][110/781]	Time 0.349 (0.371)	Data 0.000 (0.010)	Loss 1.3531 (1.2527)	Prec@1 52.246 (54.366)	Prec@5 91.797 (94.734)	Acc 0.544 (0.533)	
TRAINING - Epoch: [1][120/781]	Time 0.347 (0.369)	Data 0.000 (0.009)	Loss 1.1886 (1.2501)	Prec@1 55.420 (54.489)	Prec@5 93.945 (94.757)	Acc 0.545 (0.534)	
TRAINING - Epoch: [1][130/781]	Time 0.349 (0.368)	Data 0.000 (0.008)	Loss 1.3816 (1.2468)	Prec@1 49.463 (54.603)	Prec@5 94.824 (94.784)	Acc 0.546 (0.535)	
TRAINING - Epoch: [1][140/781]	Time 0.349 (0.366)	Data 0.000 (0.008)	Loss 1.2954 (1.2459)	Prec@1 52.490 (54.701)	Prec@5 94.580 (94.795)	Acc 0.547 (0.536)	
TRAINING - Epoch: [1][150/781]	Time 0.349 (0.365)	Data 0.000 (0.007)	Loss 1.1658 (1.2437)	Prec@1 54.395 (54.668)	Prec@5 96.631 (94.889)	Acc 0.547 (0.536)	
